Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-10-12,Kenya,54098484,593199,41619,777,32000,,8842
2020-10-12,Afghanistan,39170328,114997,39870,1479,33118,93,5273
2020-10-12,Hungary,9653313,834097,38837,968,11037,154,26832
2020-10-12,Serbia,8727252,1199799,34854,765,31536,20,2553
2020-10-12,Denmark,5798003,4393640,32811,671,26741,19,5399
2020-10-12,Tunisia,11853425,276002,32556,478,5032,138,27046
2020-10-12,Bosnia and Herzegovina,3274934,262637,30837,936,23587,,6314
2020-10-12,El Salvador,6495492,427709,30480,899,25857,27,3724
2020-10-12,Myanmar,54513051,428668,29314,664,10260,,18390
2020-10-12,Australia,25583007,8035558,27286,898,25013,1,1375
2020-10-12,Jordan,10231666,1439205,26073,207,6219,55,19647
2020-10-12,Bulgaria,6933334,577324,24989,915,15975,65,8099
2020-10-12,S. Korea,51281783,2415610,24703,433,22729,87,1541
2020-10-12,Greece,10408399,1429670,22652,456,9989,91,12207
2020-10-12,Cameroon,26727521,149000,21203,423,20117,61,663
2020-10-12,North Macedonia,2083350,208669,21113,797,16301,4,4015
2020-10-12,Croatia,4097967,360976,20621,327,17582,27,2712
2020-10-12,Slovakia,5460397,552447,20355,61,6031,48,14263
2020-10-12,Ivory Coast,26557886,173282,20155,120,19831,,204
2020-10-12,Madagascar,27886450,75210,16726,237,16081,19,408
2020-10-12,Malaysia,32482283,1627612,16220,159,11022,98,5039
2020-10-12,Norway,5433220,1158338,15639,276,11863,5,3500
2020-10-12,Albania,2876897,95199,15570,424,9585,16,5561
2020-10-12,Zambia,18524743,188804,15549,345,14682,,522
2020-10-12,Senegal,16864927,189887,15292,315,13390,6,1587
2020-10-12,Montenegro,628089,77484,14050,211,9920,20,3919
2020-10-12,Sudan,44131451,,13691,836,6764,,6091
2020-10-12,Georgia,3986972,706806,12272,93,6538,,5641
2020-10-12,Finland,5543175,1190927,12212,346,8500,10,3366
2020-10-12,Namibia,2553699,110723,11989,129,9913,5,1947
2020-10-12,Guinea,13230352,34308,11062,70,10337,24,655
2020-10-12,Maldives,543193,150743,10943,35,9783,12,1125
2020-10-12,DRC,90302874,,10868,276,10249,,343
2020-10-12,Tajikistan,9596779,,10260,79,9103,,1078
2020-10-12,French Guiana,300807,69994,10180,69,9855,6,256
2020-10-12,Mozambique,31494883,155202,10088,72,7550,,2466
2020-10-12,Uganda,46133567,508899,9864,94,6109,,3661
2020-10-12,Luxembourg,628818,897152,9731,133,8234,1,1364
2020-10-12,Haiti,11441545,29115,8882,230,7104,,1548
2020-10-12,Gabon,2240204,201267,8860,54,8298,3,508
2020-10-12,Slovenia,2079020,260111,8832,169,5219,26,3444
2020-10-12,Zimbabwe,14923427,161525,8021,230,7627,,164
2020-10-12,Jamaica,2964838,85322,7813,146,3237,20,4430
